n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Shai Gilgeous-Alexander OVER RA 8.5 (GOBLIN) [id:10427527] | Aaron Gordon OVER PRA 14.5 (GOBLIN) [id:10429627] | Terance Mann OVER RA 7 (STANDARD) [id:10431594] | Bruce Brown UNDER FG3M 0.5 (STANDARD) [id:10428046],0.09873029315146045,10.0,1.1105279168746545,11.105279168746545,1.0964274678591535,10.0,pp_kernel,0.6003199143413435,0.06531088684680057,Shai Gilgeous-Alexander OVER RA 8.5 (GOBLIN) [id:10427527] | Aaron Gordon OVER PRA 14.5 (GOBLIN) [id:10429627] | Terance Mann OVER RA 7 (STANDARD) [id:10431594] | Bruce Brown UNDER FG3M 0.5 (STANDARD) [id:10428046],0.01,0.024,0.0006531088684680057,0.03465310886846801,12.14148000998931,"['shai gilgeous-alexander', 'aaron gordon', 'terance mann', 'bruce brown']",12.176133118857779,1,Shai Gilgeous-Alexander OVER RA 8.5 (GOBLIN) [id:10427527],Aaron Gordon OVER PRA 14.5 (GOBLIN) [id:10429627],Terance Mann OVER RA 7 (STANDARD) [id:10431594],Bruce Brown UNDER FG3M 0.5 (STANDARD) [id:10428046],0,
4,Darius Garland OVER PRA 20.5 (GOBLIN) [id:10426024] | Shai Gilgeous-Alexander OVER PTS 24.5 (GOBLIN) [id:10427513] | Jaylin Williams UNDER RA 11.5 (STANDARD) [id:10427771] | Keon Ellis UNDER PA 7.5 (STANDARD) [id:10432976],0.2776734983234676,10.0,0.6464116606835812,6.4641166068358125,1.794913871790923,10.0,pp_kernel,0.7349175155432104,0.07707849373415501,Darius Garland OVER PRA 20.5 (GOBLIN) [id:10426024] | Shai Gilgeous-Alexander OVER PTS 24.5 (GOBLIN) [id:10427513] | Jaylin Williams UNDER RA 11.5 (STANDARD) [id:10427771] | Keon Ellis UNDER PA 7.5 (STANDARD) [id:10432976],0.01,0.054,0.0007707849373415501,0.06477078493734155,11.537761781546331,"['darius garland', 'shai gilgeous-alexander', 'jaylin williams', 'keon ellis']",11.602532566483672,1,Darius Garland OVER PRA 20.5 (GOBLIN) [id:10426024],Shai Gilgeous-Alexander OVER PTS 24.5 (GOBLIN) [id:10427513],Jaylin Williams UNDER RA 11.5 (STANDARD) [id:10427771],Keon Ellis UNDER PA 7.5 (STANDARD) [id:10432976],0,
4,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10427810] | Josh Hart OVER REB 5.5 (GOBLIN) [id:10423854] | Jalen Brunson UNDER AST 7 (STANDARD) [id:10431572] | Jaylin Williams UNDER PR 18.5 (STANDARD) [id:10427604],0.2620230214675717,10.0,0.6634381623124658,6.634381623124658,1.7383607184600556,10.0,pp_kernel,0.7232434686167982,0.067743928527673,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10427810] | Josh Hart OVER REB 5.5 (GOBLIN) [id:10423854] | Jalen Brunson UNDER AST 7 (STANDARD) [id:10431572] | Jaylin Williams UNDER PR 18.5 (STANDARD) [id:10427604],0.02,0.024,0.00067743928527673,0.044677439285276725,11.488270965627892,"['shai gilgeous-alexander', 'josh hart', 'jalen brunson', 'jaylin williams']",11.532948404913169,1,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10427810],Josh Hart OVER REB 5.5 (GOBLIN) [id:10423854],Jalen Brunson UNDER AST 7 (STANDARD) [id:10431572],Jaylin Williams UNDER PR 18.5 (STANDARD) [id:10427604],0,
4,Shai Gilgeous-Alexander OVER PRA 38.5 (GOBLIN) [id:10427519] | Bennedict Mathurin OVER FG3M 0.5 (GOBLIN) [id:10423823] | Jaylin Williams UNDER PA 14.5 (STANDARD) [id:10427603] | Brook Lopez UNDER PR 13.5 (STANDARD) [id:10423616],0.31544747959315267,10.0,0.6086562585393824,6.086562585393825,1.9199908269484651,10.0,pp_kernel,0.7553977749826603,0.07758005590170974,Shai Gilgeous-Alexander OVER PRA 38.5 (GOBLIN) [id:10427519] | Bennedict Mathurin OVER FG3M 0.5 (GOBLIN) [id:10423823] | Jaylin Williams UNDER PA 14.5 (STANDARD) [id:10427603] | Brook Lopez UNDER PR 13.5 (STANDARD) [id:10423616],0.02,0.024,0.0007758005590170975,0.044775800559017094,11.64136853104486,"['shai gilgeous-alexander', 'bennedict mathurin', 'jaylin williams', 'brook lopez']",11.686144331603877,1,Shai Gilgeous-Alexander OVER PRA 38.5 (GOBLIN) [id:10427519],Bennedict Mathurin OVER FG3M 0.5 (GOBLIN) [id:10423823],Jaylin Williams UNDER PA 14.5 (STANDARD) [id:10427603],Brook Lopez UNDER PR 13.5 (STANDARD) [id:10423616],0,
4,Noah Clowney OVER AST 0.5 (GOBLIN) [id:10426543] | Josh Hart OVER REB 4.5 (GOBLIN) [id:10436013] | Draymond Green OVER PR 15.5 (STANDARD) [id:10424676] | Landry Shamet OVER PRA 12.5 (STANDARD) [id:10426053],0.08523030441115208,10.0,1.1421988792271758,11.421988792271758,0.9734995817460892,10.0,pp_kernel,0.5792382875918386,0.053356124505066056,Noah Clowney OVER AST 0.5 (GOBLIN) [id:10426543] | Josh Hart OVER REB 4.5 (GOBLIN) [id:10436013] | Draymond Green OVER PR 15.5 (STANDARD) [id:10424676] | Landry Shamet OVER PRA 12.5 (STANDARD) [id:10426053],0.01,0.024,0.0005335612450506605,0.034533561245050665,11.084767750740026,"['noah clowney', 'josh hart', 'draymond green', 'landry shamet']",11.119301311985076,1,Noah Clowney OVER AST 0.5 (GOBLIN) [id:10426543],Josh Hart OVER REB 4.5 (GOBLIN) [id:10436013],Draymond Green OVER PR 15.5 (STANDARD) [id:10424676],Landry Shamet OVER PRA 12.5 (STANDARD) [id:10426053],0,
4,Cason Wallace OVER PTS 5.5 (GOBLIN) [id:10427741] | Nikola Jokić OVER AST 6.5 (GOBLIN) [id:10427809] | Aaron Gordon UNDER REB 4.5 (STANDARD) [id:10427127] | Luguentz Dort UNDER REB 4 (STANDARD) [id:10431518],0.0839554615955642,10.0,1.156319079162435,11.563190791624349,0.9707930204283997,10.0,pp_kernel,0.5747587156093114,0.04698200345448887,Cason Wallace OVER PTS 5.5 (GOBLIN) [id:10427741] | Nikola Jokić OVER AST 6.5 (GOBLIN) [id:10427809] | Aaron Gordon UNDER REB 4.5 (STANDARD) [id:10427127] | Luguentz Dort UNDER REB 4 (STANDARD) [id:10431518],0.02,0.012,0.00046982003454488873,0.03246982003454489,11.192995094356315,"['cason wallace', 'nikola jokić', 'aaron gordon', 'luguentz dort']",11.225464914390859,1,Cason Wallace OVER PTS 5.5 (GOBLIN) [id:10427741],Nikola Jokić OVER AST 6.5 (GOBLIN) [id:10427809],Aaron Gordon UNDER REB 4.5 (STANDARD) [id:10427127],Luguentz Dort UNDER REB 4 (STANDARD) [id:10431518],0,
4,Josh Hart OVER AST 2.5 (GOBLIN) [id:10436039] | Darius Garland OVER PTS 12.5 (GOBLIN) [id:10426023] | Donovan Mitchell OVER PTS 26.5 (STANDARD) [id:10428402] | Aaron Gordon UNDER PTS 13 (STANDARD) [id:10427123],0.09118422505796261,10.0,1.098311696076975,10.983116960769749,1.001487008788755,10.0,pp_kernel,0.5843894902030411,0.03949649541720296,Josh Hart OVER AST 2.5 (GOBLIN) [id:10436039] | Darius Garland OVER PTS 12.5 (GOBLIN) [id:10426023] | Donovan Mitchell OVER PTS 26.5 (STANDARD) [id:10428402] | Aaron Gordon UNDER PTS 13 (STANDARD) [id:10427123],0.0,0.054,0.0003949649541720296,0.05439496495417203,10.945053987264167,"['josh hart', 'darius garland', 'donovan mitchell', 'aaron gordon']",10.999448952218339,1,Josh Hart OVER AST 2.5 (GOBLIN) [id:10436039],Darius Garland OVER PTS 12.5 (GOBLIN) [id:10426023],Donovan Mitchell OVER PTS 26.5 (STANDARD) [id:10428402],Aaron Gordon UNDER PTS 13 (STANDARD) [id:10427123],0,
4,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839] | Dennis Schröder OVER REB 1.5 (GOBLIN) [id:10429284] | Jalen Brunson UNDER PTS 25 (STANDARD) [id:10423052] | Derrick Jones UNDER PRA 15.5 (STANDARD) [id:10425820],0.1654297130338511,10.0,0.8042189398537156,8.042189398537156,1.3304170843638812,10.0,pp_kernel,0.6521608812009484,0.06415288283267354,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839] | Dennis Schröder OVER REB 1.5 (GOBLIN) [id:10429284] | Jalen Brunson UNDER PTS 25 (STANDARD) [id:10423052] | Derrick Jones UNDER PRA 15.5 (STANDARD) [id:10425820],0.01,0.024,0.0006415288283267354,0.03464152882832674,10.66482464267559,"['darius garland', 'dennis schröder', 'jalen brunson', 'derrick jones']",10.699466171503918,1,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839],Dennis Schröder OVER REB 1.5 (GOBLIN) [id:10429284],Jalen Brunson UNDER PTS 25 (STANDARD) [id:10423052],Derrick Jones UNDER PRA 15.5 (STANDARD) [id:10425820],0,
4,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10426104] | Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Jaylin Williams UNDER PRA 22.5 (STANDARD) [id:10427605] | Pat Spencer UNDER REB 3.5 (STANDARD) [id:10428295],0.3173609330688816,10.0,0.5780702233739039,5.780702233739039,1.8345690546927893,10.0,pp_kernel,0.7529065068713835,0.0681995055978953,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10426104] | Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Jaylin Williams UNDER PRA 22.5 (STANDARD) [id:10427605] | Pat Spencer UNDER REB 3.5 (STANDARD) [id:10428295],0.0,0.024,0.0006819950559789529,0.024681995055978952,10.580415437355144,"['cam spencer', 'jonas valančiūnas', 'jaylin williams', 'pat spencer']",10.605097432411123,1,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10426104],Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710],Jaylin Williams UNDER PRA 22.5 (STANDARD) [id:10427605],Pat Spencer UNDER REB 3.5 (STANDARD) [id:10428295],0,
4,Josh Hart OVER PA 11.5 (GOBLIN) [id:10427043] | Jonas Valančiūnas OVER REB 2.5 (GOBLIN) [id:10430081] | Karl-Anthony Towns UNDER REB 12.5 (STANDARD) [id:10423074] | Luguentz Dort UNDER AST 1.5 (STANDARD) [id:10427439],0.20845747538979345,10.0,0.7107526188889581,7.107526188889581,1.4816169656027622,10.0,pp_kernel,0.6805812684309998,0.050303958615732905,Josh Hart OVER PA 11.5 (GOBLIN) [id:10427043] | Jonas Valančiūnas OVER REB 2.5 (GOBLIN) [id:10430081] | Karl-Anthony Towns UNDER REB 12.5 (STANDARD) [id:10423074] | Luguentz Dort UNDER AST 1.5 (STANDARD) [id:10427439],0.01,0.012,0.0005030395861573291,0.022503039586157327,10.508128345338589,"['josh hart', 'jonas valančiūnas', 'karl-anthony towns', 'luguentz dort']",10.530631384924746,1,Josh Hart OVER PA 11.5 (GOBLIN) [id:10427043],Jonas Valančiūnas OVER REB 2.5 (GOBLIN) [id:10430081],Karl-Anthony Towns UNDER REB 12.5 (STANDARD) [id:10423074],Luguentz Dort UNDER AST 1.5 (STANDARD) [id:10427439],0,
