n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10426104] | Shai Gilgeous-Alexander OVER PRA 40.5 (GOBLIN) [id:10427627] | Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Brandin Podziemski UNDER PTS 17.5 (STANDARD) [id:10424623] | GG Jackson UNDER PRA 28.5 (STANDARD) [id:10426291],0.33088391122339256,20.0,1.0,20.0,6.617678224467851,20.0,atlas,0.8026724781399311,0.06274680731128177,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10426104] | Shai Gilgeous-Alexander OVER PRA 40.5 (GOBLIN) [id:10427627] | Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Brandin Podziemski UNDER PTS 17.5 (STANDARD) [id:10424623] | GG Jackson UNDER PRA 28.5 (STANDARD) [id:10426291],0.01,0.096,0.0006274680731128177,0.10662746807311281,132.2469370212839,"['cam spencer', 'shai gilgeous-alexander', 'jonas valančiūnas', 'brandin podziemski', 'gg jackson']",1,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10426104],Shai Gilgeous-Alexander OVER PRA 40.5 (GOBLIN) [id:10427627],Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710],Brandin Podziemski UNDER PTS 17.5 (STANDARD) [id:10424623],GG Jackson UNDER PRA 28.5 (STANDARD) [id:10426291],0,
5,Dennis Schröder OVER REB 1.5 (GOBLIN) [id:10429284] | Shai Gilgeous-Alexander OVER RA 8.5 (GOBLIN) [id:10427527] | Josh Hart OVER PA 11.5 (GOBLIN) [id:10427043] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | GG Jackson UNDER PA 20.5 (STANDARD) [id:10426289],0.3174842130042374,20.0,1.0,20.0,6.349684260084748,20.0,atlas,0.7966256133233722,0.06519850442252464,Dennis Schröder OVER REB 1.5 (GOBLIN) [id:10429284] | Shai Gilgeous-Alexander OVER RA 8.5 (GOBLIN) [id:10427527] | Josh Hart OVER PA 11.5 (GOBLIN) [id:10427043] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | GG Jackson UNDER PA 20.5 (STANDARD) [id:10426289],0.0,0.054,0.0006519850442252465,0.05465198504422525,126.93903321665073,"['dennis schröder', 'shai gilgeous-alexander', 'josh hart', 'jabari walker', 'gg jackson']",1,Dennis Schröder OVER REB 1.5 (GOBLIN) [id:10429284],Shai Gilgeous-Alexander OVER RA 8.5 (GOBLIN) [id:10427527],Josh Hart OVER PA 11.5 (GOBLIN) [id:10427043],Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268],GG Jackson UNDER PA 20.5 (STANDARD) [id:10426289],0,
5,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839] | Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10428439] | James Harden OVER PTS 17.5 (GOBLIN) [id:10429039] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | Quentin Grimes UNDER PTS 19 (STANDARD) [id:10425114],0.31694000683580076,20.0,1.0,20.0,6.338800136716015,20.0,atlas,0.7961378385043307,0.05756910745973648,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839] | Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10428439] | James Harden OVER PTS 17.5 (GOBLIN) [id:10429039] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | Quentin Grimes UNDER PTS 19 (STANDARD) [id:10425114],0.01,0.096,0.0005756910745973648,0.10657569107459736,126.6694270432457,"['darius garland', 'jonas valančiūnas', 'james harden', 'jabari walker', 'quentin grimes']",1,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839],Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10428439],James Harden OVER PTS 17.5 (GOBLIN) [id:10429039],Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268],Quentin Grimes UNDER PTS 19 (STANDARD) [id:10425114],0,
5,Bennedict Mathurin OVER FG3M 0.5 (GOBLIN) [id:10423823] | Luguentz Dort OVER PTS 5.5 (GOBLIN) [id:10427750] | Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839] | GG Jackson UNDER PTS 18.5 (STANDARD) [id:10426288] | Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598],0.3109368159260673,20.0,1.0,20.0,6.218736318521346,20.0,atlas,0.7925451719599219,0.0527524001711603,Bennedict Mathurin OVER FG3M 0.5 (GOBLIN) [id:10423823] | Luguentz Dort OVER PTS 5.5 (GOBLIN) [id:10427750] | Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839] | GG Jackson UNDER PTS 18.5 (STANDARD) [id:10426288] | Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598],0.02,0.054,0.000527524001711603,0.0745275240017116,124.30019884642522,"['bennedict mathurin', 'luguentz dort', 'darius garland', 'gg jackson', 'jaylin williams']",1,Bennedict Mathurin OVER FG3M 0.5 (GOBLIN) [id:10423823],Luguentz Dort OVER PTS 5.5 (GOBLIN) [id:10427750],Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839],GG Jackson UNDER PTS 18.5 (STANDARD) [id:10426288],Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598],0,
5,Darius Garland OVER AST 4.5 (GOBLIN) [id:10424225] | Josh Hart OVER PA 11.5 (GOBLIN) [id:10427043] | Shai Gilgeous-Alexander OVER PRA 40.5 (GOBLIN) [id:10427627] | John Konchar UNDER PA 8.5 (STANDARD) [id:10428148] | Nolan Traore UNDER PTS 12.5 (STANDARD) [id:10426656],0.3090496907850911,20.0,1.0,20.0,6.180993815701822,20.0,atlas,0.7914424353188863,0.0630374742294888,Darius Garland OVER AST 4.5 (GOBLIN) [id:10424225] | Josh Hart OVER PA 11.5 (GOBLIN) [id:10427043] | Shai Gilgeous-Alexander OVER PRA 40.5 (GOBLIN) [id:10427627] | John Konchar UNDER PA 8.5 (STANDARD) [id:10428148] | Nolan Traore UNDER PTS 12.5 (STANDARD) [id:10426656],0.0,0.096,0.000630374742294888,0.09663037474229488,123.52324593929414,"['darius garland', 'josh hart', 'shai gilgeous-alexander', 'john konchar', 'nolan traore']",1,Darius Garland OVER AST 4.5 (GOBLIN) [id:10424225],Josh Hart OVER PA 11.5 (GOBLIN) [id:10427043],Shai Gilgeous-Alexander OVER PRA 40.5 (GOBLIN) [id:10427627],John Konchar UNDER PA 8.5 (STANDARD) [id:10428148],Nolan Traore UNDER PTS 12.5 (STANDARD) [id:10426656],0,
5,Darius Garland OVER AST 3.5 (GOBLIN) [id:10438203] | Keyonte George OVER AST 3.5 (GOBLIN) [id:10425508] | Dennis Schröder OVER RA 4.5 (GOBLIN) [id:10428830] | Adem Bona UNDER PR 14.5 (STANDARD) [id:10425058] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268],0.30783556170985754,20.0,1.0,20.0,6.156711234197151,20.0,atlas,0.7913942740313946,0.05831591675394715,Darius Garland OVER AST 3.5 (GOBLIN) [id:10438203] | Keyonte George OVER AST 3.5 (GOBLIN) [id:10425508] | Dennis Schröder OVER RA 4.5 (GOBLIN) [id:10428830] | Adem Bona UNDER PR 14.5 (STANDARD) [id:10425058] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268],0.01,0.096,0.0005831591675394715,0.10658315916753947,123.02764152477548,"['darius garland', 'keyonte george', 'dennis schröder', 'adem bona', 'jabari walker']",1,Darius Garland OVER AST 3.5 (GOBLIN) [id:10438203],Keyonte George OVER AST 3.5 (GOBLIN) [id:10425508],Dennis Schröder OVER RA 4.5 (GOBLIN) [id:10428830],Adem Bona UNDER PR 14.5 (STANDARD) [id:10425058],Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268],0,
5,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10427501] | Josh Hart OVER AST 2.5 (GOBLIN) [id:10436039] | Karl-Anthony Towns OVER FG3M 0.5 (GOBLIN) [id:10423856] | GG Jackson UNDER PA 20.5 (STANDARD) [id:10426289] | Nolan Traore UNDER RA 8.5 (STANDARD) [id:10426366],0.3060077422538007,20.0,1.0,20.0,6.120154845076014,20.0,atlas,0.7907964486317016,0.05573801505225491,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10427501] | Josh Hart OVER AST 2.5 (GOBLIN) [id:10436039] | Karl-Anthony Towns OVER FG3M 0.5 (GOBLIN) [id:10423856] | GG Jackson UNDER PA 20.5 (STANDARD) [id:10426289] | Nolan Traore UNDER RA 8.5 (STANDARD) [id:10426366],0.01,0.03,0.0005573801505225491,0.04055738015052255,122.36253952136975,"['shai gilgeous-alexander', 'josh hart', 'karl-anthony towns', 'gg jackson', 'nolan traore']",1,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10427501],Josh Hart OVER AST 2.5 (GOBLIN) [id:10436039],Karl-Anthony Towns OVER FG3M 0.5 (GOBLIN) [id:10423856],GG Jackson UNDER PA 20.5 (STANDARD) [id:10426289],Nolan Traore UNDER RA 8.5 (STANDARD) [id:10426366],0,
5,Luguentz Dort OVER PTS 5.5 (GOBLIN) [id:10427750] | OG Anunoby OVER PTS 11.5 (GOBLIN) [id:10424582] | Evan Mobley OVER AST 1.5 (GOBLIN) [id:10428524] | Adem Bona UNDER PRA 15.5 (STANDARD) [id:10425059] | Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267],0.29132264209071235,20.0,1.0,20.0,5.8264528418142465,20.0,atlas,0.7828627761003402,0.05445479613789043,Luguentz Dort OVER PTS 5.5 (GOBLIN) [id:10427750] | OG Anunoby OVER PTS 11.5 (GOBLIN) [id:10424582] | Evan Mobley OVER AST 1.5 (GOBLIN) [id:10428524] | Adem Bona UNDER PRA 15.5 (STANDARD) [id:10425059] | Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267],0.01,0.096,0.0005445479613789043,0.1065445479613789,116.42251228832356,"['luguentz dort', 'og anunoby', 'evan mobley', 'adem bona', 'jabari walker']",1,Luguentz Dort OVER PTS 5.5 (GOBLIN) [id:10427750],OG Anunoby OVER PTS 11.5 (GOBLIN) [id:10424582],Evan Mobley OVER AST 1.5 (GOBLIN) [id:10428524],Adem Bona UNDER PRA 15.5 (STANDARD) [id:10425059],Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267],0,
5,Luguentz Dort OVER REB 2.5 (GOBLIN) [id:10427735] | Keyonte George OVER AST 3.5 (GOBLIN) [id:10425508] | Josh Hart OVER PTS 7.5 (GOBLIN) [id:10424536] | De'Anthony Melton UNDER RA 7 (STANDARD) [id:10425454] | Nolan Traore UNDER PRA 21.5 (STANDARD) [id:10426364],0.2660601021016024,20.0,1.0,20.0,5.3212020420320485,20.0,atlas,0.7695830545696289,0.052739782236975244,Luguentz Dort OVER REB 2.5 (GOBLIN) [id:10427735] | Keyonte George OVER AST 3.5 (GOBLIN) [id:10425508] | Josh Hart OVER PTS 7.5 (GOBLIN) [id:10424536] | De'Anthony Melton UNDER RA 7 (STANDARD) [id:10425454] | Nolan Traore UNDER PRA 21.5 (STANDARD) [id:10426364],0.0,0.054,0.0005273978223697525,0.054527397822369754,106.3695134428186,"['luguentz dort', 'keyonte george', 'josh hart', ""de'anthony melton"", 'nolan traore']",1,Luguentz Dort OVER REB 2.5 (GOBLIN) [id:10427735],Keyonte George OVER AST 3.5 (GOBLIN) [id:10425508],Josh Hart OVER PTS 7.5 (GOBLIN) [id:10424536],De'Anthony Melton UNDER RA 7 (STANDARD) [id:10425454],Nolan Traore UNDER PRA 21.5 (STANDARD) [id:10426364],0,
5,Keyonte George OVER RA 6.5 (GOBLIN) [id:10425524] | Bennedict Mathurin OVER PTS 9.5 (GOBLIN) [id:10423825] | James Harden OVER RA 9.5 (GOBLIN) [id:10429379] | Nolan Traore UNDER PA 19.5 (STANDARD) [id:10426362] | Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598],0.2579724208067281,20.0,1.0,20.0,5.159448416134563,20.0,atlas,0.7641875012261498,0.06428037607332085,Keyonte George OVER RA 6.5 (GOBLIN) [id:10425524] | Bennedict Mathurin OVER PTS 9.5 (GOBLIN) [id:10423825] | James Harden OVER RA 9.5 (GOBLIN) [id:10429379] | Nolan Traore UNDER PA 19.5 (STANDARD) [id:10426362] | Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598],0.0,0.096,0.0006428037607332085,0.09664280376073321,103.09232551893051,"['keyonte george', 'bennedict mathurin', 'james harden', 'nolan traore', 'jaylin williams']",1,Keyonte George OVER RA 6.5 (GOBLIN) [id:10425524],Bennedict Mathurin OVER PTS 9.5 (GOBLIN) [id:10423825],James Harden OVER RA 9.5 (GOBLIN) [id:10429379],Nolan Traore UNDER PA 19.5 (STANDARD) [id:10426362],Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598],0,
