n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Darius Garland OVER AST 3.5 (GOBLIN) [id:10438203] | Gui Santos UNDER PTS 15.5 (STANDARD) [id:10424692] | Shai Gilgeous-Alexander OVER PR 39.5 (DEMON) [id:10427817],0.365564270900461,6.0,1.0,6.0,2.193385625402766,6.0,atlas,0.7231618052463157,0.05760337631070189,Darius Garland OVER AST 3.5 (GOBLIN) [id:10438203] | Gui Santos UNDER PTS 15.5 (STANDARD) [id:10424692] | Shai Gilgeous-Alexander OVER PR 39.5 (DEMON) [id:10427817],0.0,0.024,0.000576033763107019,0.02457603376310702,13.13573771865349,"['darius garland', 'gui santos', 'shai gilgeous-alexander']",1,Darius Garland OVER AST 3.5 (GOBLIN) [id:10438203],Gui Santos UNDER PTS 15.5 (STANDARD) [id:10424692],Shai Gilgeous-Alexander OVER PR 39.5 (DEMON) [id:10427817],0,
3,Bennedict Mathurin OVER FG3M 0.5 (GOBLIN) [id:10423823] | Jabari Walker UNDER PR 15.5 (STANDARD) [id:10430269] | Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10427521],0.3608638420163469,6.0,1.0,6.0,2.1651830520980813,6.0,atlas,0.7148712217102579,0.06370029410800153,Bennedict Mathurin OVER FG3M 0.5 (GOBLIN) [id:10423823] | Jabari Walker UNDER PR 15.5 (STANDARD) [id:10430269] | Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10427521],0.0,0.006,0.0006370029410800153,0.0066370029410800155,12.98446130964741,"['bennedict mathurin', 'jabari walker', 'shai gilgeous-alexander']",1,Bennedict Mathurin OVER FG3M 0.5 (GOBLIN) [id:10423823],Jabari Walker UNDER PR 15.5 (STANDARD) [id:10430269],Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10427521],0,
3,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10427810] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | Aaron Gordon OVER PR 19.5 (DEMON) [id:10427823],0.35565873079080823,6.0,1.0,6.0,2.133952384744849,6.0,atlas,0.7231430028167791,0.07138594656683968,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10427810] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | Aaron Gordon OVER PR 19.5 (DEMON) [id:10427823],0.0,0.024,0.0007138594656683968,0.024713859465668397,12.779000449003428,"['shai gilgeous-alexander', 'jabari walker', 'aaron gordon']",1,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10427810],Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268],Aaron Gordon OVER PR 19.5 (DEMON) [id:10427823],0,
3,Shai Gilgeous-Alexander OVER PRA 38.5 (GOBLIN) [id:10427519] | GG Jackson UNDER PA 20.5 (STANDARD) [id:10426289] | Aaron Gordon OVER PRA 21.5 (DEMON) [id:10427255],0.3494620270551348,6.0,1.0,6.0,2.096772162330809,6.0,atlas,0.7175902794339611,0.07189243256624774,Shai Gilgeous-Alexander OVER PRA 38.5 (GOBLIN) [id:10427519] | GG Jackson UNDER PA 20.5 (STANDARD) [id:10426289] | Aaron Gordon OVER PRA 21.5 (DEMON) [id:10427255],0.0,0.024,0.0007189243256624774,0.02471892432566248,12.55591404965919,"['shai gilgeous-alexander', 'gg jackson', 'aaron gordon']",1,Shai Gilgeous-Alexander OVER PRA 38.5 (GOBLIN) [id:10427519],GG Jackson UNDER PA 20.5 (STANDARD) [id:10426289],Aaron Gordon OVER PRA 21.5 (DEMON) [id:10427255],0,
3,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | Aaron Gordon OVER PR 19.5 (DEMON) [id:10427823],0.3346649137997902,6.0,1.0,6.0,2.0079894827987412,6.0,atlas,0.7064836274484577,0.0716480889069598,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | Aaron Gordon OVER PR 19.5 (DEMON) [id:10427823],0.01,0.024,0.000716480889069598,0.034716480889069604,12.013220415903376,"['jonas valančiūnas', 'jabari walker', 'aaron gordon']",1,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710],Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268],Aaron Gordon OVER PR 19.5 (DEMON) [id:10427823],0,
3,James Harden OVER AST 5.5 (GOBLIN) [id:10439352] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | Josh Hart OVER AST 4.5 (DEMON) [id:10423059],0.32937889987929103,6.0,1.0,6.0,1.9762733992757462,6.0,atlas,0.7007796160948038,0.046637025284918865,James Harden OVER AST 5.5 (GOBLIN) [id:10439352] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | Josh Hart OVER AST 4.5 (DEMON) [id:10423059],0.0,0.024,0.00046637025284918866,0.02446637025284919,11.833174025401629,"['james harden', 'jabari walker', 'josh hart']",1,James Harden OVER AST 5.5 (GOBLIN) [id:10439352],Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268],Josh Hart OVER AST 4.5 (DEMON) [id:10423059],0,
3,Bennedict Mathurin OVER PTS 9.5 (GOBLIN) [id:10423825] | Nolan Traore UNDER PA 19.5 (STANDARD) [id:10426362] | Josh Hart OVER AST 4.5 (DEMON) [id:10423059],0.32464789509128633,6.0,1.0,6.0,1.947887370547718,6.0,atlas,0.6970204862630176,0.04704007940309687,Bennedict Mathurin OVER PTS 9.5 (GOBLIN) [id:10423825] | Nolan Traore UNDER PA 19.5 (STANDARD) [id:10426362] | Josh Hart OVER AST 4.5 (DEMON) [id:10423059],0.0,0.024,0.0004704007940309687,0.02447040079403097,11.662853822492275,"['bennedict mathurin', 'nolan traore', 'josh hart']",1,Bennedict Mathurin OVER PTS 9.5 (GOBLIN) [id:10423825],Nolan Traore UNDER PA 19.5 (STANDARD) [id:10426362],Josh Hart OVER AST 4.5 (DEMON) [id:10423059],0,
3,James Harden OVER AST 5.5 (GOBLIN) [id:10439352] | Gui Santos UNDER PTS 15.5 (STANDARD) [id:10424692] | Noah Clowney OVER AST 1.5 (DEMON) [id:10426335],0.3128527294365588,6.0,1.0,6.0,1.8771163766193526,6.0,atlas,0.6906514075406337,0.04412621184463269,James Harden OVER AST 5.5 (GOBLIN) [id:10439352] | Gui Santos UNDER PTS 15.5 (STANDARD) [id:10424692] | Noah Clowney OVER AST 1.5 (DEMON) [id:10426335],0.0,0.024,0.0004412621184463269,0.024441262118446327,11.23825699759767,"['james harden', 'gui santos', 'noah clowney']",1,James Harden OVER AST 5.5 (GOBLIN) [id:10439352],Gui Santos UNDER PTS 15.5 (STANDARD) [id:10424692],Noah Clowney OVER AST 1.5 (DEMON) [id:10426335],0,
3,Cameron Johnson OVER PTS 5.5 (GOBLIN) [id:10435910] | Nolan Traore UNDER PRA 21.5 (STANDARD) [id:10426364] | Aaron Gordon OVER PRA 21.5 (DEMON) [id:10427255],0.3102290567438915,6.0,1.0,6.0,1.8613743404633492,6.0,atlas,0.6858410950804439,0.06123545388454398,Cameron Johnson OVER PTS 5.5 (GOBLIN) [id:10435910] | Nolan Traore UNDER PRA 21.5 (STANDARD) [id:10426364] | Aaron Gordon OVER PRA 21.5 (DEMON) [id:10427255],0.01,0.024,0.0006123545388454398,0.034612354538845445,11.133633688241249,"['cameron johnson', 'nolan traore', 'aaron gordon']",1,Cameron Johnson OVER PTS 5.5 (GOBLIN) [id:10435910],Nolan Traore UNDER PRA 21.5 (STANDARD) [id:10426364],Aaron Gordon OVER PRA 21.5 (DEMON) [id:10427255],0,
3,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Gui Santos UNDER PA 18.5 (STANDARD) [id:10424693] | Keyonte George OVER RA 8.5 (DEMON) [id:10425526],0.3094308975545827,6.0,1.0,6.0,1.856585385327496,6.0,atlas,0.6891497793486736,0.07167798834886653,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Gui Santos UNDER PA 18.5 (STANDARD) [id:10424693] | Keyonte George OVER RA 8.5 (DEMON) [id:10425526],0.0,0.024,0.0007167798834886653,0.024716779883488665,11.114795532081487,"['jonas valančiūnas', 'gui santos', 'keyonte george']",1,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710],Gui Santos UNDER PA 18.5 (STANDARD) [id:10424693],Keyonte George OVER RA 8.5 (DEMON) [id:10425526],0,
