n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10427810] | Cason Wallace UNDER RA 6.5 (STANDARD) [id:10427324] | Brice Sensabaugh OVER RA 4.5 (STANDARD) [id:10430243] | Keon Ellis OVER PTS 7.5 (DEMON) [id:10432975],0.05738686498974558,10.0,2.2197985277414123,22.197985277414123,1.2738727841593243,10.0,pp_kernel,0.5277920868886161,0.05784906483029663,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10427810] | Cason Wallace UNDER RA 6.5 (STANDARD) [id:10427324] | Brice Sensabaugh OVER RA 4.5 (STANDARD) [id:10430243] | Keon Ellis OVER PTS 7.5 (DEMON) [id:10432975],0.01,0.054,0.0005784906483029663,0.06457849064830297,28.21283081741892,"['shai gilgeous-alexander', 'cason wallace', 'brice sensabaugh', 'keon ellis']",28.27740930806722,1,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10427810],Cason Wallace UNDER RA 6.5 (STANDARD) [id:10427324],Brice Sensabaugh OVER RA 4.5 (STANDARD) [id:10430243],Keon Ellis OVER PTS 7.5 (DEMON) [id:10432975],0,
4,Cason Wallace OVER FG3M 0.5 (GOBLIN) [id:10427302] | Luguentz Dort UNDER PR 13.5 (STANDARD) [id:10427172] | Chet Holmgren UNDER RA 12 (STANDARD) [id:10427368] | Brook Lopez OVER PTS 10.5 (DEMON) [id:10425777],0.05208726553014231,10.0,2.2499746331114086,22.499746331114086,1.1719502615095847,10.0,pp_kernel,0.5035642000492662,0.05495112888276055,Cason Wallace OVER FG3M 0.5 (GOBLIN) [id:10427302] | Luguentz Dort UNDER PR 13.5 (STANDARD) [id:10427172] | Chet Holmgren UNDER RA 12 (STANDARD) [id:10427368] | Brook Lopez OVER PTS 10.5 (DEMON) [id:10425777],0.04,0.024,0.0005495112888276055,0.0645495112888276,26.304034085359643,"['cason wallace', 'luguentz dort', 'chet holmgren', 'brook lopez']",26.36858359664847,1,Cason Wallace OVER FG3M 0.5 (GOBLIN) [id:10427302],Luguentz Dort UNDER PR 13.5 (STANDARD) [id:10427172],Chet Holmgren UNDER RA 12 (STANDARD) [id:10427368],Brook Lopez OVER PTS 10.5 (DEMON) [id:10425777],0,
4,Sam Merrill OVER PTS 7.5 (GOBLIN) [id:10432468] | Dean Wade OVER PRA 10.5 (STANDARD) [id:10429580] | Luguentz Dort OVER PR 13.5 (STANDARD) [id:10427172] | Cason Wallace OVER RA 8.5 (DEMON) [id:10427325],0.0504122796587209,10.0,2.2479495526158146,22.479495526158146,1.13324261505165,10.0,pp_kernel,0.49339561910785734,0.0626913655813269,Sam Merrill OVER PTS 7.5 (GOBLIN) [id:10432468] | Dean Wade OVER PRA 10.5 (STANDARD) [id:10429580] | Luguentz Dort OVER PR 13.5 (STANDARD) [id:10427172] | Cason Wallace OVER RA 8.5 (DEMON) [id:10427325],0.02,0.054,0.000626913655813269,0.07462691365581327,25.40009538144951,"['sam merrill', 'dean wade', 'luguentz dort', 'cason wallace']",25.474722295105323,1,Sam Merrill OVER PTS 7.5 (GOBLIN) [id:10432468],Dean Wade OVER PRA 10.5 (STANDARD) [id:10429580],Luguentz Dort OVER PR 13.5 (STANDARD) [id:10427172],Cason Wallace OVER RA 8.5 (DEMON) [id:10427325],0,
4,Josh Hart OVER PA 11.5 (GOBLIN) [id:10427043] | Bruce Brown UNDER PR 11.5 (STANDARD) [id:10427635] | James Harden UNDER AST 8 (STANDARD) [id:10431566] | Cason Wallace OVER RA 8.5 (DEMON) [id:10427325],0.050394486475464094,10.0,2.20788428490453,22.0788428490453,1.1126519473501106,10.0,pp_kernel,0.49838399968191527,0.06862635776929892,Josh Hart OVER PA 11.5 (GOBLIN) [id:10427043] | Bruce Brown UNDER PR 11.5 (STANDARD) [id:10427635] | James Harden UNDER AST 8 (STANDARD) [id:10431566] | Cason Wallace OVER RA 8.5 (DEMON) [id:10427325],0.0,0.054,0.0006862635776929891,0.05468626357769299,24.511381227649625,"['josh hart', 'bruce brown', 'james harden', 'cason wallace']",24.56606749122732,1,Josh Hart OVER PA 11.5 (GOBLIN) [id:10427043],Bruce Brown UNDER PR 11.5 (STANDARD) [id:10427635],James Harden UNDER AST 8 (STANDARD) [id:10431566],Cason Wallace OVER RA 8.5 (DEMON) [id:10427325],0,
4,Shai Gilgeous-Alexander OVER PTS 27.5 (GOBLIN) [id:10427514] | Mikal Bridges OVER REB 3.5 (STANDARD) [id:10424580] | Chet Holmgren UNDER PTS 17.5 (STANDARD) [id:10427577] | Ace Bailey OVER AST 2.5 (DEMON) [id:10425362],0.061799346892148305,10.0,1.9661035853979167,19.66103585397917,1.215039174999024,10.0,pp_kernel,0.5305884024917366,0.04145779950958304,Shai Gilgeous-Alexander OVER PTS 27.5 (GOBLIN) [id:10427514] | Mikal Bridges OVER REB 3.5 (STANDARD) [id:10424580] | Chet Holmgren UNDER PTS 17.5 (STANDARD) [id:10427577] | Ace Bailey OVER AST 2.5 (DEMON) [id:10425362],0.01,0.024,0.0004145779950958304,0.034414577995095834,23.854514205649984,"['shai gilgeous-alexander', 'mikal bridges', 'chet holmgren', 'ace bailey']",23.88892878364508,1,Shai Gilgeous-Alexander OVER PTS 27.5 (GOBLIN) [id:10427514],Mikal Bridges OVER REB 3.5 (STANDARD) [id:10424580],Chet Holmgren UNDER PTS 17.5 (STANDARD) [id:10427577],Ace Bailey OVER AST 2.5 (DEMON) [id:10425362],0,
4,James Harden OVER PRA 30.5 (GOBLIN) [id:10429603] | Evan Mobley OVER PA 19.5 (STANDARD) [id:10428492] | Luguentz Dort UNDER PA 10.5 (STANDARD) [id:10427625] | Chet Holmgren OVER PA 24.5 (DEMON) [id:10427791],0.05171414944277623,10.0,2.1405016734964235,21.405016734964235,1.1069422342570667,10.0,pp_kernel,0.4928584092454138,0.06790309117136725,James Harden OVER PRA 30.5 (GOBLIN) [id:10429603] | Evan Mobley OVER PA 19.5 (STANDARD) [id:10428492] | Luguentz Dort UNDER PA 10.5 (STANDARD) [id:10427625] | Chet Holmgren OVER PA 24.5 (DEMON) [id:10427791],0.02,0.054,0.0006790309117136725,0.07467903091171367,23.6194380179995,"['james harden', 'evan mobley', 'luguentz dort', 'chet holmgren']",23.694117048911213,1,James Harden OVER PRA 30.5 (GOBLIN) [id:10429603],Evan Mobley OVER PA 19.5 (STANDARD) [id:10428492],Luguentz Dort UNDER PA 10.5 (STANDARD) [id:10427625],Chet Holmgren OVER PA 24.5 (DEMON) [id:10427791],0,
4,Shai Gilgeous-Alexander OVER PTS 27.5 (GOBLIN) [id:10427514] | Derrick Jones OVER PA 12 (STANDARD) [id:10426026] | Mikal Bridges OVER PA 18 (STANDARD) [id:10423082] | Evan Mobley OVER PA 24.5 (DEMON) [id:10428649],0.04548885030018509,10.0,2.2798160812072847,22.798160812072847,1.0370621242999278,10.0,pp_kernel,0.4906471814816037,0.05521593972462819,Shai Gilgeous-Alexander OVER PTS 27.5 (GOBLIN) [id:10427514] | Derrick Jones OVER PA 12 (STANDARD) [id:10426026] | Mikal Bridges OVER PA 18 (STANDARD) [id:10423082] | Evan Mobley OVER PA 24.5 (DEMON) [id:10428649],0.0,0.054,0.0005521593972462819,0.05455215939724628,23.588556922502388,"['shai gilgeous-alexander', 'derrick jones', 'mikal bridges', 'evan mobley']",23.643109081899635,1,Shai Gilgeous-Alexander OVER PTS 27.5 (GOBLIN) [id:10427514],Derrick Jones OVER PA 12 (STANDARD) [id:10426026],Mikal Bridges OVER PA 18 (STANDARD) [id:10423082],Evan Mobley OVER PA 24.5 (DEMON) [id:10428649],0,
4,James Harden OVER PRA 29.5 (GOBLIN) [id:10428585] | Sam Merrill OVER PRA 16.5 (STANDARD) [id:10432437] | Luguentz Dort UNDER PR 13.5 (STANDARD) [id:10427172] | Jordan Miller OVER PTS 12.5 (DEMON) [id:10434270],0.04154507686478823,10.0,2.376964606791336,23.76964606791336,0.9875117729402718,10.0,pp_kernel,0.4725625869459825,0.05824265774927652,James Harden OVER PRA 29.5 (GOBLIN) [id:10428585] | Sam Merrill OVER PRA 16.5 (STANDARD) [id:10432437] | Luguentz Dort UNDER PR 13.5 (STANDARD) [id:10427172] | Jordan Miller OVER PTS 12.5 (DEMON) [id:10434270],0.01,0.054,0.0005824265774927652,0.06458242657749276,23.408222904110392,"['james harden', 'sam merrill', 'luguentz dort', 'jordan miller']",23.472805330687883,1,James Harden OVER PRA 29.5 (GOBLIN) [id:10428585],Sam Merrill OVER PRA 16.5 (STANDARD) [id:10432437],Luguentz Dort UNDER PR 13.5 (STANDARD) [id:10427172],Jordan Miller OVER PTS 12.5 (DEMON) [id:10434270],0,
4,Mikal Bridges OVER REB 2.5 (GOBLIN) [id:10424579] | Keyonte George OVER PA 28.5 (STANDARD) [id:10424710] | OG Anunoby OVER PRA 23 (STANDARD) [id:10423090] | Shai Gilgeous-Alexander OVER PA 49.5 (DEMON) [id:10427812],0.045657449274126495,10.0,2.2157838085031667,22.157838085031667,1.0116703683916415,10.0,pp_kernel,0.4776547268554099,0.060509439239374394,Mikal Bridges OVER REB 2.5 (GOBLIN) [id:10424579] | Keyonte George OVER PA 28.5 (STANDARD) [id:10424710] | OG Anunoby OVER PRA 23 (STANDARD) [id:10423090] | Shai Gilgeous-Alexander OVER PA 49.5 (DEMON) [id:10427812],0.01,0.024,0.0006050943923937439,0.034605094392393745,22.381823123853938,"['mikal bridges', 'keyonte george', 'og anunoby', 'shai gilgeous-alexander']",22.41642821824633,1,Mikal Bridges OVER REB 2.5 (GOBLIN) [id:10424579],Keyonte George OVER PA 28.5 (STANDARD) [id:10424710],OG Anunoby OVER PRA 23 (STANDARD) [id:10423090],Shai Gilgeous-Alexander OVER PA 49.5 (DEMON) [id:10427812],0,
4,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Christian Braun UNDER PR 16.5 (STANDARD) [id:10427153] | Jordan Miller UNDER RA 5.5 (STANDARD) [id:10434284] | Day'Ron Sharpe OVER PA 14.5 (DEMON) [id:10428371],0.06084834458914138,10.0,1.908776533721365,19.08776533721365,1.1614589226754446,10.0,pp_kernel,0.5297876098164072,0.07089055276330318,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Christian Braun UNDER PR 16.5 (STANDARD) [id:10427153] | Jordan Miller UNDER RA 5.5 (STANDARD) [id:10434284] | Day'Ron Sharpe OVER PA 14.5 (DEMON) [id:10428371],0.01,0.054,0.0007089055276330318,0.06470890552763303,22.104946459314224,"['jonas valančiūnas', 'christian braun', 'jordan miller', ""day'ron sharpe""]",22.16965536484186,1,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710],Christian Braun UNDER PR 16.5 (STANDARD) [id:10427153],Jordan Miller UNDER RA 5.5 (STANDARD) [id:10434284],Day'Ron Sharpe OVER PA 14.5 (DEMON) [id:10428371],0,
