n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Kon Knueppel OVER PTS 16.5 (GOBLIN) [id:10645613] | Grant Williams OVER AST 0.5 (GOBLIN) [id:10645595] | Miles Bridges UNDER PRA 24.5 (STANDARD) [id:10644030] | LaMelo Ball UNDER PA 27.5 (STANDARD) [id:10644001],0.1440647543459692,20.0,0.4637529492957729,9.275058985915457,1.3362090943502845,20.0,pp_kernel,0.6922207779222077,0.031492861130498866,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Kon Knueppel OVER PTS 16.5 (GOBLIN) [id:10645613] | Grant Williams OVER AST 0.5 (GOBLIN) [id:10645595] | Miles Bridges UNDER PRA 24.5 (STANDARD) [id:10644030] | LaMelo Ball UNDER PA 27.5 (STANDARD) [id:10644001],0.0,0.0,0.0,0.0,0.0,5,1.0,2.0862090943502842,"['ryan kalkbrenner', 'kon knueppel', 'grant williams', 'miles bridges', 'lamelo ball']",1.3362090943502845,1,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583],Kon Knueppel OVER PTS 16.5 (GOBLIN) [id:10645613],Grant Williams OVER AST 0.5 (GOBLIN) [id:10645595],Miles Bridges UNDER PRA 24.5 (STANDARD) [id:10644030],LaMelo Ball UNDER PA 27.5 (STANDARD) [id:10644001],0,
5,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Grant Williams OVER PA 4.5 (GOBLIN) [id:10644493] | Kon Knueppel OVER PR 24.5 (STANDARD) [id:10643969] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053],0.1584879163392285,20.0,0.41861602878487225,8.372320575697445,1.3269116429663383,20.0,pp_kernel,0.7042995700429958,0.05459697057191504,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Coby White OVER PTS 9.5 (GOBLIN) [id:10643853] | Grant Williams OVER PA 4.5 (GOBLIN) [id:10644493] | Kon Knueppel OVER PR 24.5 (STANDARD) [id:10643969] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053],0.0,0.0,0.0,0.0,0.0,5,1.0,2.0769116429663383,"['ryan kalkbrenner', 'coby white', 'grant williams', 'kon knueppel', 'moussa diabaté']",1.3269116429663383,1,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753],Coby White OVER PTS 9.5 (GOBLIN) [id:10643853],Grant Williams OVER PA 4.5 (GOBLIN) [id:10644493],Kon Knueppel OVER PR 24.5 (STANDARD) [id:10643969],Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053],0,
5,Miles Bridges OVER PA 14.5 (GOBLIN) [id:10644536] | Coby White OVER PR 11.5 (GOBLIN) [id:10653363] | Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10644517] | Moussa Diabaté UNDER REB 10 (STANDARD) [id:10644060] | LaMelo Ball UNDER PA 27.5 (STANDARD) [id:10644001],0.16796928542102754,20.0,0.3754059352479122,7.508118704958244,1.261133333728087,20.0,pp_kernel,0.7045195480451956,0.05472410960748118,Miles Bridges OVER PA 14.5 (GOBLIN) [id:10644536] | Coby White OVER PR 11.5 (GOBLIN) [id:10653363] | Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10644517] | Moussa Diabaté UNDER REB 10 (STANDARD) [id:10644060] | LaMelo Ball UNDER PA 27.5 (STANDARD) [id:10644001],0.0,0.0,0.0,0.0,0.0,5,1.0,2.011133333728087,"['miles bridges', 'coby white', 'kon knueppel', 'moussa diabaté', 'lamelo ball']",1.261133333728087,1,Miles Bridges OVER PA 14.5 (GOBLIN) [id:10644536],Coby White OVER PR 11.5 (GOBLIN) [id:10653363],Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10644517],Moussa Diabaté UNDER REB 10 (STANDARD) [id:10644060],LaMelo Ball UNDER PA 27.5 (STANDARD) [id:10644001],0,
5,LaMelo Ball OVER PA 19.5 (GOBLIN) [id:10646873] | Grant Williams OVER PR 8.5 (GOBLIN) [id:10652259] | Ryan Kalkbrenner OVER PR 8.5 (GOBLIN) [id:10652267] | Brandon Miller UNDER REB 5.5 (STANDARD) [id:10655096] | Miles Bridges OVER PA 18.5 (STANDARD) [id:10644028],0.12734386808378256,20.0,0.4635319567878793,9.270639135757586,1.180559047156266,20.0,pp_kernel,0.67008299170083,0.06948087079863302,LaMelo Ball OVER PA 19.5 (GOBLIN) [id:10646873] | Grant Williams OVER PR 8.5 (GOBLIN) [id:10652259] | Ryan Kalkbrenner OVER PR 8.5 (GOBLIN) [id:10652267] | Brandon Miller UNDER REB 5.5 (STANDARD) [id:10655096] | Miles Bridges OVER PA 18.5 (STANDARD) [id:10644028],0.0,0.0,0.0,0.0,0.0,5,1.0,1.930559047156266,"['lamelo ball', 'grant williams', 'ryan kalkbrenner', 'brandon miller', 'miles bridges']",1.180559047156266,1,LaMelo Ball OVER PA 19.5 (GOBLIN) [id:10646873],Grant Williams OVER PR 8.5 (GOBLIN) [id:10652259],Ryan Kalkbrenner OVER PR 8.5 (GOBLIN) [id:10652267],Brandon Miller UNDER REB 5.5 (STANDARD) [id:10655096],Miles Bridges OVER PA 18.5 (STANDARD) [id:10644028],0,
5,Alex Caruso OVER FG3M 0.5 (GOBLIN) [id:10644957] | Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10652227] | Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10643884] | Grayson Allen OVER RA 6 (STANDARD) [id:10656132] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],0.1139974398865107,20.0,0.41645050717146587,8.329010143429317,0.9494858331397215,20.0,pp_kernel,0.6544317374932136,0.053288827726782804,Alex Caruso OVER FG3M 0.5 (GOBLIN) [id:10644957] | Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10652227] | Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10643884] | Grayson Allen OVER RA 6 (STANDARD) [id:10656132] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9494858331397215,"['alex caruso', ""royce o'neale"", 'davion mitchell', 'grayson allen', 'tristan silva']",0.9494858331397215,1,Alex Caruso OVER FG3M 0.5 (GOBLIN) [id:10644957],Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10652227],Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10643884],Grayson Allen OVER RA 6 (STANDARD) [id:10656132],Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],0,
5,Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10652227] | Norman Powell OVER RA 4.5 (GOBLIN) [id:10645650] | Sam Merrill OVER REB 1.5 (GOBLIN) [id:10655278] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186],0.08362185687468655,20.0,0.5193061837897787,10.386123675795574,0.8685069475001709,20.0,pp_kernel,0.6125030421089968,0.045985136258094465,Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10652227] | Norman Powell OVER RA 4.5 (GOBLIN) [id:10645650] | Sam Merrill OVER REB 1.5 (GOBLIN) [id:10655278] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8685069475001709,"[""royce o'neale"", 'norman powell', 'sam merrill', 'quentin grimes', 'devin booker']",0.8685069475001709,1,Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10652227],Norman Powell OVER RA 4.5 (GOBLIN) [id:10645650],Sam Merrill OVER REB 1.5 (GOBLIN) [id:10655278],Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186],0,
5,Chet Holmgren OVER PTS 11.5 (GOBLIN) [id:10646712] | Tyler Herro OVER PA 19.5 (GOBLIN) [id:10652729] | Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642] | Desmond Bane OVER PTS 19.5 (STANDARD) [id:10645922] | Royce O'Neale OVER PTS 7.5 (STANDARD) [id:10649509],0.07209279011707644,20.0,0.5189524615558588,10.379049231117177,0.7482546178337343,20.0,pp_kernel,0.5956916779566266,0.0841401623356877,Chet Holmgren OVER PTS 11.5 (GOBLIN) [id:10646712] | Tyler Herro OVER PA 19.5 (GOBLIN) [id:10652729] | Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642] | Desmond Bane OVER PTS 19.5 (STANDARD) [id:10645922] | Royce O'Neale OVER PTS 7.5 (STANDARD) [id:10649509],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7482546178337343,"['chet holmgren', 'tyler herro', 'jaylon tyson', 'desmond bane', ""royce o'neale""]",0.7482546178337343,1,Chet Holmgren OVER PTS 11.5 (GOBLIN) [id:10646712],Tyler Herro OVER PA 19.5 (GOBLIN) [id:10652729],Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642],Desmond Bane OVER PTS 19.5 (STANDARD) [id:10645922],Royce O'Neale OVER PTS 7.5 (STANDARD) [id:10649509],0,
5,Dean Wade OVER RA 3.5 (GOBLIN) [id:10646722] | James Harden OVER AST 5.5 (GOBLIN) [id:10645143] | Desmond Bane OVER REB 2.5 (GOBLIN) [id:10648599] | Grayson Allen OVER FG3M 2.5 (STANDARD) [id:10649255] | Pelle Larsson UNDER PA 15.5 (STANDARD) [id:10644111],0.06562114159787533,20.0,0.5246311315194295,10.49262263038859,0.6885378753618008,20.0,pp_kernel,0.5845519177815494,0.08189627041459877,Dean Wade OVER RA 3.5 (GOBLIN) [id:10646722] | James Harden OVER AST 5.5 (GOBLIN) [id:10645143] | Desmond Bane OVER REB 2.5 (GOBLIN) [id:10648599] | Grayson Allen OVER FG3M 2.5 (STANDARD) [id:10649255] | Pelle Larsson UNDER PA 15.5 (STANDARD) [id:10644111],0.0,0.0,0.0,0.0,0.0,0,0.0,0.6885378753618008,"['dean wade', 'james harden', 'desmond bane', 'grayson allen', 'pelle larsson']",0.6885378753618008,1,Dean Wade OVER RA 3.5 (GOBLIN) [id:10646722],James Harden OVER AST 5.5 (GOBLIN) [id:10645143],Desmond Bane OVER REB 2.5 (GOBLIN) [id:10648599],Grayson Allen OVER FG3M 2.5 (STANDARD) [id:10649255],Pelle Larsson UNDER PA 15.5 (STANDARD) [id:10644111],0,
5,Jaden McDaniels OVER FG3M 0.5 (GOBLIN) [id:10654802] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Ryan Rollins OVER PTS 12.5 (GOBLIN) [id:10652313] | Jaylon Tyson OVER PR 12.5 (STANDARD) [id:10645176] | Jalen Brunson UNDER AST 7 (STANDARD) [id:10650043],0.06473113367832105,20.0,0.5185819618057155,10.371639236114309,0.6713679658562349,20.0,pp_kernel,0.5930515560773294,0.07913333604642556,Jaden McDaniels OVER FG3M 0.5 (GOBLIN) [id:10654802] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Ryan Rollins OVER PTS 12.5 (GOBLIN) [id:10652313] | Jaylon Tyson OVER PR 12.5 (STANDARD) [id:10645176] | Jalen Brunson UNDER AST 7 (STANDARD) [id:10650043],0.0,0.0,0.0,0.0,0.0,0,0.0,0.6713679658562349,"['jaden mcdaniels', 'davion mitchell', 'ryan rollins', 'jaylon tyson', 'jalen brunson']",0.6713679658562349,1,Jaden McDaniels OVER FG3M 0.5 (GOBLIN) [id:10654802],Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873],Ryan Rollins OVER PTS 12.5 (GOBLIN) [id:10652313],Jaylon Tyson OVER PR 12.5 (STANDARD) [id:10645176],Jalen Brunson UNDER AST 7 (STANDARD) [id:10650043],0,
5,Nique Clifford OVER REB 2.5 (GOBLIN) [id:10651785] | Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216] | Donte DiVincenzo OVER PTS 9.5 (GOBLIN) [id:10649230] | James Harden OVER PTS 19.5 (STANDARD) [id:10645153] | Davion Mitchell OVER PTS 7.5 (STANDARD) [id:10643883],0.061442956844128996,20.0,0.5202091073556774,10.404182147113548,0.6392637146635551,20.0,pp_kernel,0.5786735168591788,0.08254467095603328,Nique Clifford OVER REB 2.5 (GOBLIN) [id:10651785] | Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216] | Donte DiVincenzo OVER PTS 9.5 (GOBLIN) [id:10649230] | James Harden OVER PTS 19.5 (STANDARD) [id:10645153] | Davion Mitchell OVER PTS 7.5 (STANDARD) [id:10643883],0.0,0.0,0.0,0.0,0.0,0,0.0,0.6392637146635551,"['nique clifford', 'jaylon tyson', 'donte divincenzo', 'james harden', 'davion mitchell']",0.6392637146635551,1,Nique Clifford OVER REB 2.5 (GOBLIN) [id:10651785],Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216],Donte DiVincenzo OVER PTS 9.5 (GOBLIN) [id:10649230],James Harden OVER PTS 19.5 (STANDARD) [id:10645153],Davion Mitchell OVER PTS 7.5 (STANDARD) [id:10643883],0,
