n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Brandon Miller UNDER PTS 21.5 (STANDARD) [id:10643825] | Kon Knueppel OVER PR 28.5 (DEMON) [id:10661299],0.15467558431240908,6.0,1.3868221809516186,8.320933085709711,1.2870451870566066,6.0,pp_kernel,0.5842582408425825,0.059061530058559235,Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Brandon Miller UNDER PTS 21.5 (STANDARD) [id:10643825] | Kon Knueppel OVER PR 28.5 (DEMON) [id:10661299],0.0,0.0,0.0,0.0,0.0,3,1.0,1.7370451870566066,"['coby white', 'brandon miller', 'kon knueppel']",1.2870451870566066,1,Coby White OVER PRA 14.5 (GOBLIN) [id:10653364],Brandon Miller UNDER PTS 21.5 (STANDARD) [id:10643825],Kon Knueppel OVER PR 28.5 (DEMON) [id:10661299],0,
3,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | LaMelo Ball UNDER PTS 20.5 (STANDARD) [id:10643999] | Miles Bridges OVER RA 10.5 (DEMON) [id:10645636],0.16889948873260163,6.0,1.2019186082368452,7.211511649421071,1.2180206305764196,6.0,pp_kernel,0.6017564910175649,0.058430821989956416,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | LaMelo Ball UNDER PTS 20.5 (STANDARD) [id:10643999] | Miles Bridges OVER RA 10.5 (DEMON) [id:10645636],0.0,0.0,0.0,0.0,0.0,3,1.0,1.6680206305764196,"['coby white', 'lamelo ball', 'miles bridges']",1.2180206305764196,1,Coby White OVER PA 11.5 (GOBLIN) [id:10653362],LaMelo Ball UNDER PTS 20.5 (STANDARD) [id:10643999],Miles Bridges OVER RA 10.5 (DEMON) [id:10645636],0,
3,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | LaMelo Ball UNDER AST 7 (STANDARD) [id:10643988] | Miles Bridges OVER RA 10.5 (DEMON) [id:10645636],0.14962809114428935,6.0,1.3486977519878536,8.092186511927121,1.2108184209632202,6.0,pp_kernel,0.5747925207479253,0.044399163394732655,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | LaMelo Ball UNDER AST 7 (STANDARD) [id:10643988] | Miles Bridges OVER RA 10.5 (DEMON) [id:10645636],0.0,0.0,0.0,0.0,0.0,3,1.0,1.6608184209632202,"['ryan kalkbrenner', 'lamelo ball', 'miles bridges']",1.2108184209632202,1,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497],LaMelo Ball UNDER AST 7 (STANDARD) [id:10643988],Miles Bridges OVER RA 10.5 (DEMON) [id:10645636],0,
3,Coby White OVER PR 11.5 (GOBLIN) [id:10653363] | Moussa Diabaté UNDER RA 12.5 (STANDARD) [id:10658559] | Kon Knueppel OVER PR 28.5 (DEMON) [id:10661299],0.17463840130965544,6.0,1.1375118508769164,6.8250711052614985,1.1919195066475912,6.0,pp_kernel,0.6078892110788922,0.05818400958928407,Coby White OVER PR 11.5 (GOBLIN) [id:10653363] | Moussa Diabaté UNDER RA 12.5 (STANDARD) [id:10658559] | Kon Knueppel OVER PR 28.5 (DEMON) [id:10661299],0.0,0.0,0.0,0.0,0.0,3,1.0,1.6419195066475911,"['coby white', 'moussa diabaté', 'kon knueppel']",1.1919195066475912,1,Coby White OVER PR 11.5 (GOBLIN) [id:10653363],Moussa Diabaté UNDER RA 12.5 (STANDARD) [id:10658559],Kon Knueppel OVER PR 28.5 (DEMON) [id:10661299],0,
3,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Ousmane Dieng UNDER PTS 9.5 (STANDARD) [id:10658805] | Ausar Thompson OVER REB 5.5 (DEMON) [id:10647644],0.14463481342235313,6.0,0.8225906372822788,4.935543823693672,0.7138514600777817,6.0,pp_kernel,0.5667254992214037,0.07706259408184435,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Ousmane Dieng UNDER PTS 9.5 (STANDARD) [id:10658805] | Ausar Thompson OVER REB 5.5 (DEMON) [id:10647644],0.0,0.0,0.0,0.0,0.0,0,0.0,0.7138514600777817,"['davion mitchell', 'ousmane dieng', 'ausar thompson']",0.7138514600777817,1,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873],Ousmane Dieng UNDER PTS 9.5 (STANDARD) [id:10658805],Ausar Thompson OVER REB 5.5 (DEMON) [id:10647644],0,
3,Isaiah Hartenstein OVER AST 1.5 (GOBLIN) [id:10644996] | Ousmane Dieng UNDER PTS 9.5 (STANDARD) [id:10658805] | Josh Hart OVER FG3M 1.5 (DEMON) [id:10649936],0.1362643461413721,6.0,0.8061790546944819,4.837074328166891,0.6591207705648782,6.0,pp_kernel,0.5339512298684822,0.08081389541994931,Isaiah Hartenstein OVER AST 1.5 (GOBLIN) [id:10644996] | Ousmane Dieng UNDER PTS 9.5 (STANDARD) [id:10658805] | Josh Hart OVER FG3M 1.5 (DEMON) [id:10649936],0.0,0.0,0.0,0.0,0.0,0,0.0,0.6591207705648782,"['isaiah hartenstein', 'ousmane dieng', 'josh hart']",0.6591207705648782,1,Isaiah Hartenstein OVER AST 1.5 (GOBLIN) [id:10644996],Ousmane Dieng UNDER PTS 9.5 (STANDARD) [id:10658805],Josh Hart OVER FG3M 1.5 (DEMON) [id:10649936],0,
3,Mikal Bridges OVER FG3M 0.5 (GOBLIN) [id:10661648] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Donte DiVincenzo OVER FG3M 3.5 (DEMON) [id:10649214],0.13534078790552218,6.0,0.7478278258487527,4.486966955092516,0.6072696430082628,6.0,pp_kernel,0.5436190383654622,0.06394232591955805,Mikal Bridges OVER FG3M 0.5 (GOBLIN) [id:10661648] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Donte DiVincenzo OVER FG3M 3.5 (DEMON) [id:10649214],0.0,0.0,0.0,0.0,0.0,0,0.0,0.6072696430082628,"['mikal bridges', 'tristan silva', 'donte divincenzo']",0.6072696430082628,1,Mikal Bridges OVER FG3M 0.5 (GOBLIN) [id:10661648],Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],Donte DiVincenzo OVER FG3M 3.5 (DEMON) [id:10649214],0,
3,Aaron Gordon OVER REB 3.5 (GOBLIN) [id:10644805] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Cason Wallace OVER FG3M 1.5 (DEMON) [id:10648565],0.10782339279392887,6.0,0.9318374002383645,5.591024401430187,0.6028432201558481,6.0,pp_kernel,0.49451369890700825,0.07962377285803986,Aaron Gordon OVER REB 3.5 (GOBLIN) [id:10644805] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560] | Cason Wallace OVER FG3M 1.5 (DEMON) [id:10648565],0.0,0.0,0.0,0.0,0.0,0,0.0,0.6028432201558481,"['aaron gordon', 'cameron payne', 'cason wallace']",0.6028432201558481,1,Aaron Gordon OVER REB 3.5 (GOBLIN) [id:10644805],Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560],Cason Wallace OVER FG3M 1.5 (DEMON) [id:10648565],0,
3,Jaime Jaquez OVER RA 6.5 (GOBLIN) [id:10661297] | Jaylon Tyson OVER PTS 9 (STANDARD) [id:10658804] | Jaden McDaniels OVER AST 3.5 (DEMON) [id:10649282],0.12362887054167243,6.0,0.8089642831541153,4.853785698924692,0.6000680438093817,6.0,pp_kernel,0.5215069529694966,0.0880685009363885,Jaime Jaquez OVER RA 6.5 (GOBLIN) [id:10661297] | Jaylon Tyson OVER PTS 9 (STANDARD) [id:10658804] | Jaden McDaniels OVER AST 3.5 (DEMON) [id:10649282],0.0,0.0,0.0,0.0,0.0,0,0.0,0.6000680438093817,"['jaime jaquez', 'jaylon tyson', 'jaden mcdaniels']",0.6000680438093817,1,Jaime Jaquez OVER RA 6.5 (GOBLIN) [id:10661297],Jaylon Tyson OVER PTS 9 (STANDARD) [id:10658804],Jaden McDaniels OVER AST 3.5 (DEMON) [id:10649282],0,
3,Jaylon Tyson OVER FG3M 0.5 (GOBLIN) [id:10645167] | Devin Booker UNDER PA 32.5 (STANDARD) [id:10649191] | Caris LeVert OVER AST 2.5 (DEMON) [id:10653353],0.10632440084518195,6.0,0.9357665864874872,5.614599518924924,0.5969689298353393,6.0,pp_kernel,0.5042727960861685,0.11207200506070243,Jaylon Tyson OVER FG3M 0.5 (GOBLIN) [id:10645167] | Devin Booker UNDER PA 32.5 (STANDARD) [id:10649191] | Caris LeVert OVER AST 2.5 (DEMON) [id:10653353],0.0,0.0,0.0,0.0,0.0,0,0.0,0.5969689298353393,"['jaylon tyson', 'devin booker', 'caris levert']",0.5969689298353393,1,Jaylon Tyson OVER FG3M 0.5 (GOBLIN) [id:10645167],Devin Booker UNDER PA 32.5 (STANDARD) [id:10649191],Caris LeVert OVER AST 2.5 (DEMON) [id:10653353],0,
