n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Jaylon Tyson OVER REB 2.5 (GOBLIN) [id:10645178] | Kel'el Ware UNDER PR 25.5 (STANDARD) [id:10650504] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Jaden McDaniels OVER FG3M 1.5 (DEMON) [id:10649279],0.07022073833643175,20.0,0.6016684475113299,12.033368950226597,0.8449920523596043,20.0,pp_kernel,0.6025952868753449,0.03813532016239052,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Jaylon Tyson OVER REB 2.5 (GOBLIN) [id:10645178] | Kel'el Ware UNDER PR 25.5 (STANDARD) [id:10650504] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Jaden McDaniels OVER FG3M 1.5 (DEMON) [id:10649279],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8449920523596043,"['ryan kalkbrenner', 'jaylon tyson', ""kel'el ware"", 'quentin grimes', 'jaden mcdaniels']",0.8449920523596043,1,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497],Jaylon Tyson OVER REB 2.5 (GOBLIN) [id:10645178],Kel'el Ware UNDER PR 25.5 (STANDARD) [id:10650504],Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],Jaden McDaniels OVER FG3M 1.5 (DEMON) [id:10649279],0,
5,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Royce O'Neale OVER FG3M 1.5 (GOBLIN) [id:10649494] | Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Donte DiVincenzo OVER AST 4.5 (DEMON) [id:10649218],0.07887129260655598,20.0,0.5319840778673349,10.639681557346698,0.8391654373500687,20.0,pp_kernel,0.61211101876525,0.0399447727659436,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Royce O'Neale OVER FG3M 1.5 (GOBLIN) [id:10649494] | Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Donte DiVincenzo OVER AST 4.5 (DEMON) [id:10649218],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8391654373500687,"['coby white', ""royce o'neale"", 'devin booker', 'quentin grimes', 'donte divincenzo']",0.8391654373500687,1,Coby White OVER PA 11.5 (GOBLIN) [id:10653362],Royce O'Neale OVER FG3M 1.5 (GOBLIN) [id:10649494],Devin Booker UNDER PTS 27.5 (STANDARD) [id:10649186],Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],Donte DiVincenzo OVER AST 4.5 (DEMON) [id:10649218],0,
5,Miles Bridges OVER REB 3.5 (GOBLIN) [id:10661303] | Myles Turner OVER FG3M 0.5 (GOBLIN) [id:10659717] | Jaylon Tyson OVER PTS 9 (STANDARD) [id:10658804] | Julius Randle UNDER PTS 23.5 (STANDARD) [id:10649378] | Grant Williams OVER FG3M 1.5 (DEMON) [id:10643894],0.07974348742705825,20.0,0.5315556565324636,10.631113130649272,0.8477620362695641,20.0,pp_kernel,0.6124152699727284,0.0634768908428624,Miles Bridges OVER REB 3.5 (GOBLIN) [id:10661303] | Myles Turner OVER FG3M 0.5 (GOBLIN) [id:10659717] | Jaylon Tyson OVER PTS 9 (STANDARD) [id:10658804] | Julius Randle UNDER PTS 23.5 (STANDARD) [id:10649378] | Grant Williams OVER FG3M 1.5 (DEMON) [id:10643894],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8477620362695641,"['miles bridges', 'myles turner', 'jaylon tyson', 'julius randle', 'grant williams']",0.8477620362695641,1,Miles Bridges OVER REB 3.5 (GOBLIN) [id:10661303],Myles Turner OVER FG3M 0.5 (GOBLIN) [id:10659717],Jaylon Tyson OVER PTS 9 (STANDARD) [id:10658804],Julius Randle UNDER PTS 23.5 (STANDARD) [id:10649378],Grant Williams OVER FG3M 1.5 (DEMON) [id:10643894],0,
5,Coby White OVER AST 1.5 (GOBLIN) [id:10661295] | Isaiah Hartenstein OVER PTS 4.5 (GOBLIN) [id:10645530] | Ousmane Dieng UNDER PR 13.5 (STANDARD) [id:10658855] | Julius Randle UNDER PTS 23.5 (STANDARD) [id:10649378] | DeMar DeRozan OVER FG3M 0.5 (DEMON) [id:10651592],0.07288283863617058,20.0,0.6006269748352441,12.012539496704882,0.8755079777489677,20.0,pp_kernel,0.6094379595091189,0.05718116830604174,Coby White OVER AST 1.5 (GOBLIN) [id:10661295] | Isaiah Hartenstein OVER PTS 4.5 (GOBLIN) [id:10645530] | Ousmane Dieng UNDER PR 13.5 (STANDARD) [id:10658855] | Julius Randle UNDER PTS 23.5 (STANDARD) [id:10649378] | DeMar DeRozan OVER FG3M 0.5 (DEMON) [id:10651592],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8755079777489677,"['coby white', 'isaiah hartenstein', 'ousmane dieng', 'julius randle', 'demar derozan']",0.8755079777489677,1,Coby White OVER AST 1.5 (GOBLIN) [id:10661295],Isaiah Hartenstein OVER PTS 4.5 (GOBLIN) [id:10645530],Ousmane Dieng UNDER PR 13.5 (STANDARD) [id:10658855],Julius Randle UNDER PTS 23.5 (STANDARD) [id:10649378],DeMar DeRozan OVER FG3M 0.5 (DEMON) [id:10651592],0,
5,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Davion Mitchell OVER AST 5 (STANDARD) [id:10656041] | Collin Gillespie OVER PTS 11.5 (STANDARD) [id:10649139] | Bruce Brown OVER REB 3.5 (DEMON) [id:10644817],0.07746798787891009,20.0,0.5379653304809238,10.759306609618475,0.8335018340194013,20.0,pp_kernel,0.6168536863697431,0.07758694494302616,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Davion Mitchell OVER AST 5 (STANDARD) [id:10656041] | Collin Gillespie OVER PTS 11.5 (STANDARD) [id:10649139] | Bruce Brown OVER REB 3.5 (DEMON) [id:10644817],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8335018340194013,"['coby white', 'ryan kalkbrenner', 'davion mitchell', 'collin gillespie', 'bruce brown']",0.8335018340194013,1,Coby White OVER PA 11.5 (GOBLIN) [id:10653362],Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583],Davion Mitchell OVER AST 5 (STANDARD) [id:10656041],Collin Gillespie OVER PTS 11.5 (STANDARD) [id:10649139],Bruce Brown OVER REB 3.5 (DEMON) [id:10644817],0,
5,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Collin Gillespie OVER PA 11.5 (GOBLIN) [id:10652475] | Justin Edwards UNDER PTS 11.5 (STANDARD) [id:10647161] | Donte DiVincenzo UNDER PTS 13.5 (STANDARD) [id:10649226] | Davion Mitchell OVER AST 6.5 (DEMON) [id:10643870],0.07809460672401353,20.0,0.5329384574944173,10.658769149888345,0.8323923849225783,20.0,pp_kernel,0.6149486572077245,0.035518023609534675,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Collin Gillespie OVER PA 11.5 (GOBLIN) [id:10652475] | Justin Edwards UNDER PTS 11.5 (STANDARD) [id:10647161] | Donte DiVincenzo UNDER PTS 13.5 (STANDARD) [id:10649226] | Davion Mitchell OVER AST 6.5 (DEMON) [id:10643870],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8323923849225783,"['ryan kalkbrenner', 'collin gillespie', 'justin edwards', 'donte divincenzo', 'davion mitchell']",0.8323923849225783,1,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583],Collin Gillespie OVER PA 11.5 (GOBLIN) [id:10652475],Justin Edwards UNDER PTS 11.5 (STANDARD) [id:10647161],Donte DiVincenzo UNDER PTS 13.5 (STANDARD) [id:10649226],Davion Mitchell OVER AST 6.5 (DEMON) [id:10643870],0,
5,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Davion Mitchell OVER AST 5 (STANDARD) [id:10656041] | Kon Knueppel OVER AST 3.5 (DEMON) [id:10643955],0.11276082192439035,20.0,0.36298810212833504,7.259762042566701,0.8186167348953121,20.0,pp_kernel,0.6566305325222147,0.054100802948844604,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152] | Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Davion Mitchell OVER AST 5 (STANDARD) [id:10656041] | Kon Knueppel OVER AST 3.5 (DEMON) [id:10643955],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8186167348953121,"['james harden', 'jordan goodwin', 'tristan silva', 'davion mitchell', 'kon knueppel']",0.8186167348953121,1,James Harden OVER PTS 14.5 (GOBLIN) [id:10645152],Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150],Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],Davion Mitchell OVER AST 5 (STANDARD) [id:10656041],Kon Knueppel OVER AST 3.5 (DEMON) [id:10643955],0,
5,Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Grant Williams OVER FG3M 0.5 (GOBLIN) [id:10643896] | Justin Edwards UNDER PTS 11.5 (STANDARD) [id:10647161] | Coby White OVER PR 15.5 (STANDARD) [id:10643855] | Jaden McDaniels OVER FG3M 1.5 (DEMON) [id:10649279],0.06731490567883455,20.0,0.6016938481459098,12.033876962918196,0.8100592927095384,20.0,pp_kernel,0.598465301369642,0.05405251884936134,Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Grant Williams OVER FG3M 0.5 (GOBLIN) [id:10643896] | Justin Edwards UNDER PTS 11.5 (STANDARD) [id:10647161] | Coby White OVER PR 15.5 (STANDARD) [id:10643855] | Jaden McDaniels OVER FG3M 1.5 (DEMON) [id:10649279],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8100592927095384,"['jordan goodwin', 'grant williams', 'justin edwards', 'coby white', 'jaden mcdaniels']",0.8100592927095384,1,Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150],Grant Williams OVER FG3M 0.5 (GOBLIN) [id:10643896],Justin Edwards UNDER PTS 11.5 (STANDARD) [id:10647161],Coby White OVER PR 15.5 (STANDARD) [id:10643855],Jaden McDaniels OVER FG3M 1.5 (DEMON) [id:10649279],0,
5,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Kobe Brown UNDER PTS 7.5 (STANDARD) [id:10650943] | Julius Randle UNDER PA 27.5 (STANDARD) [id:10649384] | Donte DiVincenzo OVER AST 4.5 (DEMON) [id:10649218],0.07585511992766508,20.0,0.5311251077702054,10.622502155404108,0.8057711749300595,20.0,pp_kernel,0.6143379030415517,0.031196706239398585,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Kobe Brown UNDER PTS 7.5 (STANDARD) [id:10650943] | Julius Randle UNDER PA 27.5 (STANDARD) [id:10649384] | Donte DiVincenzo OVER AST 4.5 (DEMON) [id:10649218],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8057711749300595,"['ryan kalkbrenner', 'davion mitchell', 'kobe brown', 'julius randle', 'donte divincenzo']",0.8057711749300595,1,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583],Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873],Kobe Brown UNDER PTS 7.5 (STANDARD) [id:10650943],Julius Randle UNDER PA 27.5 (STANDARD) [id:10649384],Donte DiVincenzo OVER AST 4.5 (DEMON) [id:10649218],0,
5,Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216] | Desmond Bane OVER AST 2.5 (GOBLIN) [id:10661317] | Ousmane Dieng UNDER PTS 9.5 (STANDARD) [id:10658805] | Kel'el Ware UNDER REB 11.5 (STANDARD) [id:10659144] | Norman Powell OVER AST 2.5 (DEMON) [id:10644070],0.07561585803566619,20.0,0.5314180106010788,10.628360212021576,0.8036725769441465,20.0,pp_kernel,0.606642915968157,0.04713135764413096,Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216] | Desmond Bane OVER AST 2.5 (GOBLIN) [id:10661317] | Ousmane Dieng UNDER PTS 9.5 (STANDARD) [id:10658805] | Kel'el Ware UNDER REB 11.5 (STANDARD) [id:10659144] | Norman Powell OVER AST 2.5 (DEMON) [id:10644070],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8036725769441465,"['jaylon tyson', 'desmond bane', 'ousmane dieng', ""kel'el ware"", 'norman powell']",0.8036725769441465,1,Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216],Desmond Bane OVER AST 2.5 (GOBLIN) [id:10661317],Ousmane Dieng UNDER PTS 9.5 (STANDARD) [id:10658805],Kel'el Ware UNDER REB 11.5 (STANDARD) [id:10659144],Norman Powell OVER AST 2.5 (DEMON) [id:10644070],0,
