n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Sandro Mamukelashvili OVER REB 2.5 (GOBLIN) [id:10609812] | Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10607363] | Kobe Brown UNDER PTS 10.5 (STANDARD) [id:10602777] | Cody Williams UNDER PR 16.5 (STANDARD) [id:10603607],0.327468501973925,10.0,0.6906088923337173,6.9060889233371725,2.2615265942239406,10.0,pp_kernel,0.75686545409997,0.028756089355652686,Sandro Mamukelashvili OVER REB 2.5 (GOBLIN) [id:10609812] | Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10607363] | Kobe Brown UNDER PTS 10.5 (STANDARD) [id:10602777] | Cody Williams UNDER PR 16.5 (STANDARD) [id:10603607],0.0,0.0,0.0,0.0,0.0,0,0.0,2.2615265942239406,"['sandro mamukelashvili', 'shai gilgeous-alexander', 'kobe brown', 'cody williams']",2.2615265942239406,1,Sandro Mamukelashvili OVER REB 2.5 (GOBLIN) [id:10609812],Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10607363],Kobe Brown UNDER PTS 10.5 (STANDARD) [id:10602777],Cody Williams UNDER PR 16.5 (STANDARD) [id:10603607],0,
4,Sandro Mamukelashvili OVER PTS 4.5 (GOBLIN) [id:10599310] | Ayo Dosunmu OVER FG3M 0.5 (GOBLIN) [id:10599599] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10603845] | Gui Santos UNDER PTS 16.5 (STANDARD) [id:10596631],0.29716063023284095,10.0,0.7146379286621432,7.146379286621432,2.123622572695345,10.0,pp_kernel,0.7404475789579884,0.02910905674070813,Sandro Mamukelashvili OVER PTS 4.5 (GOBLIN) [id:10599310] | Ayo Dosunmu OVER FG3M 0.5 (GOBLIN) [id:10599599] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10603845] | Gui Santos UNDER PTS 16.5 (STANDARD) [id:10596631],0.0,0.0,0.0,0.0,0.0,0,0.0,2.123622572695345,"['sandro mamukelashvili', 'ayo dosunmu', 'nique clifford', 'gui santos']",2.123622572695345,1,Sandro Mamukelashvili OVER PTS 4.5 (GOBLIN) [id:10599310],Ayo Dosunmu OVER FG3M 0.5 (GOBLIN) [id:10599599],Nique Clifford UNDER PA 19.5 (STANDARD) [id:10603845],Gui Santos UNDER PTS 16.5 (STANDARD) [id:10596631],0,
4,Sandro Mamukelashvili OVER PTS 5.5 (GOBLIN) [id:10600053] | Ajay Mitchell OVER AST 1.5 (GOBLIN) [id:10601762] | Justin Edwards UNDER RA 6.5 (STANDARD) [id:10598361] | Brice Sensabaugh UNDER PTS 22.5 (STANDARD) [id:10603594],0.2990646848863871,10.0,0.705067845932917,7.050678459329171,2.1086089316745156,10.0,pp_kernel,0.7400177375768491,0.028604950114698435,Sandro Mamukelashvili OVER PTS 5.5 (GOBLIN) [id:10600053] | Ajay Mitchell OVER AST 1.5 (GOBLIN) [id:10601762] | Justin Edwards UNDER RA 6.5 (STANDARD) [id:10598361] | Brice Sensabaugh UNDER PTS 22.5 (STANDARD) [id:10603594],0.0,0.0,0.0,0.0,0.0,0,0.0,2.1086089316745156,"['sandro mamukelashvili', 'ajay mitchell', 'justin edwards', 'brice sensabaugh']",2.1086089316745156,1,Sandro Mamukelashvili OVER PTS 5.5 (GOBLIN) [id:10600053],Ajay Mitchell OVER AST 1.5 (GOBLIN) [id:10601762],Justin Edwards UNDER RA 6.5 (STANDARD) [id:10598361],Brice Sensabaugh UNDER PTS 22.5 (STANDARD) [id:10603594],0,
4,Scottie Barnes OVER PTS 11.5 (GOBLIN) [id:10600058] | RJ Barrett OVER REB 3.5 (GOBLIN) [id:10601875] | Nique Clifford UNDER PTS 15.5 (STANDARD) [id:10603844] | Sandro Mamukelashvili OVER REB 4 (STANDARD) [id:10607595],0.25815404295292815,10.0,0.8156156530398042,8.156156530398043,2.105544783279182,10.0,pp_kernel,0.7174933905557669,0.035815775305127265,Scottie Barnes OVER PTS 11.5 (GOBLIN) [id:10600058] | RJ Barrett OVER REB 3.5 (GOBLIN) [id:10601875] | Nique Clifford UNDER PTS 15.5 (STANDARD) [id:10603844] | Sandro Mamukelashvili OVER REB 4 (STANDARD) [id:10607595],0.0,0.0,0.0,0.0,0.0,0,0.0,2.105544783279182,"['scottie barnes', 'rj barrett', 'nique clifford', 'sandro mamukelashvili']",2.105544783279182,1,Scottie Barnes OVER PTS 11.5 (GOBLIN) [id:10600058],RJ Barrett OVER REB 3.5 (GOBLIN) [id:10601875],Nique Clifford UNDER PTS 15.5 (STANDARD) [id:10603844],Sandro Mamukelashvili OVER REB 4 (STANDARD) [id:10607595],0,
4,Duncan Robinson OVER REB 1.5 (GOBLIN) [id:10602184] | Aaron Wiggins OVER PTS 3.5 (GOBLIN) [id:10609190] | Kobe Brown UNDER PTS 10.5 (STANDARD) [id:10602777] | Brice Sensabaugh UNDER PRA 28.5 (STANDARD) [id:10603597],0.30288608370804865,10.0,0.6942373395068934,6.942373395068934,2.102748289271379,10.0,pp_kernel,0.7424701834630303,0.030770130953892895,Duncan Robinson OVER REB 1.5 (GOBLIN) [id:10602184] | Aaron Wiggins OVER PTS 3.5 (GOBLIN) [id:10609190] | Kobe Brown UNDER PTS 10.5 (STANDARD) [id:10602777] | Brice Sensabaugh UNDER PRA 28.5 (STANDARD) [id:10603597],0.0,0.0,0.0,0.0,0.0,0,0.0,2.102748289271379,"['duncan robinson', 'aaron wiggins', 'kobe brown', 'brice sensabaugh']",2.102748289271379,1,Duncan Robinson OVER REB 1.5 (GOBLIN) [id:10602184],Aaron Wiggins OVER PTS 3.5 (GOBLIN) [id:10609190],Kobe Brown UNDER PTS 10.5 (STANDARD) [id:10602777],Brice Sensabaugh UNDER PRA 28.5 (STANDARD) [id:10603597],0,
4,DeMar DeRozan OVER REB 1.5 (GOBLIN) [id:10604859] | Caris LeVert OVER PA 4.5 (GOBLIN) [id:10603076] | Quentin Grimes UNDER PTS 20 (STANDARD) [id:10598374] | Nique Clifford UNDER PRA 24.5 (STANDARD) [id:10603847],0.3010974095717058,10.0,0.6867985794398235,6.867985794398235,2.0679327316685825,10.0,pp_kernel,0.7410843150477944,0.03329358475290333,DeMar DeRozan OVER REB 1.5 (GOBLIN) [id:10604859] | Caris LeVert OVER PA 4.5 (GOBLIN) [id:10603076] | Quentin Grimes UNDER PTS 20 (STANDARD) [id:10598374] | Nique Clifford UNDER PRA 24.5 (STANDARD) [id:10603847],0.0,0.0,0.0,0.0,0.0,0,0.0,2.0679327316685825,"['demar derozan', 'caris levert', 'quentin grimes', 'nique clifford']",2.0679327316685825,1,DeMar DeRozan OVER REB 1.5 (GOBLIN) [id:10604859],Caris LeVert OVER PA 4.5 (GOBLIN) [id:10603076],Quentin Grimes UNDER PTS 20 (STANDARD) [id:10598374],Nique Clifford UNDER PRA 24.5 (STANDARD) [id:10603847],0,
4,Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10603470] | Brandon Ingram OVER FG3M 0.5 (GOBLIN) [id:10607526] | Isaiah Collier UNDER PTS 17.5 (STANDARD) [id:10603618] | Brice Sensabaugh UNDER PTS 22.5 (STANDARD) [id:10603594],0.29834422113335524,10.0,0.6925849343958324,6.9258493439583235,2.0662871282102055,10.0,pp_kernel,0.7397207532875588,0.032332060753163284,Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10603470] | Brandon Ingram OVER FG3M 0.5 (GOBLIN) [id:10607526] | Isaiah Collier UNDER PTS 17.5 (STANDARD) [id:10603618] | Brice Sensabaugh UNDER PTS 22.5 (STANDARD) [id:10603594],0.0,0.0,0.0,0.0,0.0,0,0.0,2.0662871282102055,"['duncan robinson', 'brandon ingram', 'isaiah collier', 'brice sensabaugh']",2.0662871282102055,1,Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10603470],Brandon Ingram OVER FG3M 0.5 (GOBLIN) [id:10607526],Isaiah Collier UNDER PTS 17.5 (STANDARD) [id:10603618],Brice Sensabaugh UNDER PTS 22.5 (STANDARD) [id:10603594],0,
4,Sandro Mamukelashvili OVER PTS 4.5 (GOBLIN) [id:10599310] | Ayo Dosunmu OVER AST 1.5 (GOBLIN) [id:10599603] | Gui Santos UNDER PTS 16.5 (STANDARD) [id:10596631] | Oscar Tshiebwe UNDER PR 15.5 (STANDARD) [id:10609548],0.2859748499854984,10.0,0.7163037108501156,7.163037108501156,2.048448462544176,10.0,pp_kernel,0.7334208349898044,0.02930197265274816,Sandro Mamukelashvili OVER PTS 4.5 (GOBLIN) [id:10599310] | Ayo Dosunmu OVER AST 1.5 (GOBLIN) [id:10599603] | Gui Santos UNDER PTS 16.5 (STANDARD) [id:10596631] | Oscar Tshiebwe UNDER PR 15.5 (STANDARD) [id:10609548],0.0,0.0,0.0,0.0,0.0,0,0.0,2.048448462544176,"['sandro mamukelashvili', 'ayo dosunmu', 'gui santos', 'oscar tshiebwe']",2.048448462544176,1,Sandro Mamukelashvili OVER PTS 4.5 (GOBLIN) [id:10599310],Ayo Dosunmu OVER AST 1.5 (GOBLIN) [id:10599603],Gui Santos UNDER PTS 16.5 (STANDARD) [id:10596631],Oscar Tshiebwe UNDER PR 15.5 (STANDARD) [id:10609548],0,
4,Naz Reid OVER PTS 7.5 (GOBLIN) [id:10602257] | Scottie Barnes OVER PTS 11.5 (GOBLIN) [id:10600058] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10603845] | Brice Sensabaugh UNDER PA 24.5 (STANDARD) [id:10603595],0.29421056742306156,10.0,0.6895462491437403,6.895462491437403,2.028717932250236,10.0,pp_kernel,0.7369525259924129,0.02995576541982803,Naz Reid OVER PTS 7.5 (GOBLIN) [id:10602257] | Scottie Barnes OVER PTS 11.5 (GOBLIN) [id:10600058] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10603845] | Brice Sensabaugh UNDER PA 24.5 (STANDARD) [id:10603595],0.0,0.0,0.0,0.0,0.0,0,0.0,2.028717932250236,"['naz reid', 'scottie barnes', 'nique clifford', 'brice sensabaugh']",2.028717932250236,1,Naz Reid OVER PTS 7.5 (GOBLIN) [id:10602257],Scottie Barnes OVER PTS 11.5 (GOBLIN) [id:10600058],Nique Clifford UNDER PA 19.5 (STANDARD) [id:10603845],Brice Sensabaugh UNDER PA 24.5 (STANDARD) [id:10603595],0,
4,Scottie Barnes OVER PTS 13.5 (GOBLIN) [id:10602093] | Myles Turner OVER FG3M 0.5 (GOBLIN) [id:10607524] | Cody Williams UNDER PTS 12.5 (STANDARD) [id:10603605] | Isaiah Collier UNDER PRA 29.5 (STANDARD) [id:10603621],0.29098677445507654,10.0,0.6936958562915229,6.936958562915229,2.0185631967512254,10.0,pp_kernel,0.7372302141150431,0.028878036488328936,Scottie Barnes OVER PTS 13.5 (GOBLIN) [id:10602093] | Myles Turner OVER FG3M 0.5 (GOBLIN) [id:10607524] | Cody Williams UNDER PTS 12.5 (STANDARD) [id:10603605] | Isaiah Collier UNDER PRA 29.5 (STANDARD) [id:10603621],0.0,0.0,0.0,0.0,0.0,0,0.0,2.0185631967512254,"['scottie barnes', 'myles turner', 'cody williams', 'isaiah collier']",2.0185631967512254,1,Scottie Barnes OVER PTS 13.5 (GOBLIN) [id:10602093],Myles Turner OVER FG3M 0.5 (GOBLIN) [id:10607524],Cody Williams UNDER PTS 12.5 (STANDARD) [id:10603605],Isaiah Collier UNDER PRA 29.5 (STANDARD) [id:10603621],0,
